Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-09-27,349.7,356.1,345.1,350.0,350.55,1493047.0,5236.91
2017-09-26,334.0,350.0,332.6,349.7,349.35,1911979.0,6593.9
2017-09-25,325.3,333.75,321.2,332.0,332.5,995497.0,3278.67
2017-09-22,327.9,332.65,321.5,328.9,328.7,1428072.0,4686.54
2017-09-21,328.0,330.2,322.05,326.4,328.3,769453.0,2522.0
2017-09-20,330.0,331.15,323.95,328.0,328.1,487563.0,1593.78
2017-09-19,325.05,331.0,322.35,330.0,329.95,565742.0,1854.3
2017-09-18,325.0,328.8,319.05,326.0,325.2,429985.0,1394.59
2017-09-15,322.05,327.6,316.95,323.05,323.05,1183845.0,3827.94
2017-09-14,320.9,324.75,309.0,317.35,318.1,1240072.0,3911.13
2017-09-13,330.5,334.0,317.1,323.1,323.5,669133.0,2183.1
2017-09-12,334.0,334.9,324.2,330.0,331.45,906727.0,2986.5
2017-09-11,312.2,333.0,312.2,330.95,331.2,2588624.0,8427.56
2017-09-08,307.5,321.1,305.5,314.2,315.35,1860967.0,5885.66
2017-09-07,311.9,312.0,304.0,305.15,305.7,350869.0,1077.57
2017-09-06,307.0,312.35,306.9,309.5,309.25,433946.0,1347.16
2017-09-05,309.0,312.9,305.45,307.05,308.8,889653.0,2753.19
2017-09-04,297.8,310.0,294.2,308.6,308.45,2448701.0,7480.0
2017-09-01,287.95,296.35,286.3,295.5,295.2,868812.0,2551.77
2017-08-31,293.9,296.0,281.7,286.0,285.15,843695.0,2417.01
2017-08-30,289.05,298.4,289.05,292.1,292.05,736505.0,2164.78
2017-08-29,286.1,291.75,284.3,289.0,289.2,462720.0,1331.34
2017-08-28,283.9,288.8,283.9,288.1,288.1,241503.0,693.28
2017-08-24,279.9,284.65,276.7,283.95,283.4,366213.0,1032.89
2017-08-23,275.3,279.9,274.0,279.0,278.8,251186.0,695.39
2017-08-22,270.5,277.8,270.5,276.1,276.1,517343.0,1420.43
2017-08-21,286.95,291.9,271.15,272.25,272.7,843293.0,2368.71
2017-08-18,282.0,289.5,280.8,286.0,286.45,293104.0,836.99
2017-08-17,287.9,287.9,282.2,283.0,282.75,407760.0,1161.3
2017-08-16,280.0,288.0,277.75,287.5,286.45,358896.0,1016.85
2017-08-14,281.0,282.15,275.7,280.0,280.05,354515.0,988.61
2017-08-11,278.1,289.5,273.4,280.9,278.95,711232.0,2002.55
2017-08-10,282.1,283.9,277.1,281.95,281.95,532772.0,1495.73
2017-08-09,280.4,283.05,279.05,282.5,282.05,279146.0,786.95
2017-08-08,287.0,288.2,281.05,282.55,282.35,392815.0,1115.62
2017-08-07,285.6,289.0,284.5,286.05,287.25,200014.0,574.14
2017-08-04,286.7,286.7,281.3,284.0,284.25,384852.0,1090.8
2017-08-03,282.25,287.9,280.5,284.55,285.25,354716.0,1006.81
2017-08-02,286.0,287.15,281.1,281.95,282.05,247226.0,698.75
2017-08-01,290.95,301.9,284.95,285.15,286.15,464923.0,1341.92
2017-07-31,281.75,295.7,281.0,290.95,287.5,761903.0,2175.07
2017-07-28,278.05,282.45,278.05,281.7,281.75,306964.0,861.82
2017-07-27,282.0,283.4,278.05,279.65,279.0,403348.0,1130.13
2017-07-26,280.15,282.75,279.1,281.75,282.05,371531.0,1043.88
2017-07-25,281.35,282.35,278.2,279.75,280.15,439598.0,1231.19
2017-07-24,282.0,284.5,278.15,281.35,281.35,446228.0,1252.71
2017-07-21,286.3,286.3,281.05,282.0,282.4,633666.0,1789.92
2017-07-20,285.0,295.4,279.45,286.0,285.25,1070204.0,3037.13
