,Tweets,len,ID,Date,Source,Likes,coordinates,timestamp,SA
0,"Cent dies d'infàmia, d'injustícia, d'indefensió, d'escarni i de venjança. Una abominació del concepte de justícia i… https://t.co/zUlHu9zhDS",140,956075747088662529,2018-01-24 08:06:35,Twitter for Android,5725,,2018-01-24,0
1,RT @parlament_cat: El Butlletí Oficial del #Parlament publica la proposta de @KRLS Puigdemont com a candidat per ser investit president de…,139,956073123337687041,2018-01-24 07:56:10,Twitter for Android,0,,2018-01-24,0
2,Algun dia entendran que no tenim cap problema amb Espanya ni amb la seva bandera. La batalla és contra qui exerceix… https://t.co/cyS7uDNddh,140,955781533834645505,2018-01-23 12:37:29,Twitter for Android,37884,,2018-01-23,0
3,"Els cops de porra de l'#1Oct no varen marcar només la pell, van deixar una marca inesborrable en la memòria i l'esp… https://t.co/aWsF0FK9Fr",140,955730580330688513,2018-01-23 09:15:01,Twitter for Android,14038,,2018-01-23,0
4,"RT @jordialapreso: Demà farà 100 dies que espero la #llibertat. Seguiré pacient esperant, i quan arribi, sortiré per seguir fent camí amb t…",140,955729594484711425,2018-01-23 09:11:06,Twitter for Android,0,,2018-01-23,1
5,"?? “We will not surrender to authoritarianism”

https://t.co/y8K33LO2vm",71,955537340071600128,2018-01-22 20:27:09,Twitter Web Client,13204,,2018-01-22,0
6,RT @uni_copenhagen: The Catalan leader Carles Puigdemont @KRLS discusses the current political situation in Catalonia and Europe  - follow…,139,955427218062110720,2018-01-22 13:09:34,Twitter for Android,0,,2018-01-22,0
7,"Arribat a #København. A les 14h participo al debat ""Catalonia and Europe at a crossroads for democracy"" a la… https://t.co/25gc3UiOyP",133,955354470833106945,2018-01-22 08:20:30,Twitter for Android,15332,,2018-01-22,0
8,"Arrimadas, Rivera i Albiol encapçalant una manifestació amb qui demana boicot a productes catalans i agraint el pap… https://t.co/aMVCxulEmH",140,955050333700546560,2018-01-21 12:11:58,Twitter for Android,23540,,2018-01-21,0
9,"Lideratge, honestedat, determinació i humilitat. Gràcies @MiquelBuch per tots aquests anys de servei impecable.

En… https://t.co/hFAdLuksvB",140,954742985845104640,2018-01-20 15:50:40,Twitter for Android,4653,,2018-01-20,0
10,RT @324cat: Demanen la compareixença de Zoido per la relació del CNI amb l'imam de Ripoll https://t.co/q9U6ugXRjW https://t.co/24F05yVR4H,137,954741978691928064,2018-01-20 15:46:40,Twitter for Android,0,,2018-01-20,0
11,RT @JaumeAlonsoCuev: El 15 de desembre vaig presentar a Fiscalia denúncia per amenaces i incitació a l’odi contra el President Puigdemont f…,140,954741750354141184,2018-01-20 15:45:46,Twitter for Android,0,,2018-01-20,0
12,RT @pelledragsted: In october I met president Puigdemont in the Palau del Generalitat. I look forward to welcome him in the Danish Parliame…,140,954741122093502464,2018-01-20 15:43:16,Twitter for Android,0,,2018-01-20,1
