CodTempo,Tempo,Indicadores,CodEspazo,Espazo,DatoN
2011,2011,Taxa bruta de natalidade,1501,1501 Arzúa,5.01
2011,2011,Taxa bruta de natalidade,1502,1502 Barbanza,8.26
2011,2011,Taxa bruta de natalidade,1503,1503 A Barcala,6.37
2011,2011,Taxa bruta de natalidade,1504,1504 Bergantiños,7.35
2011,2011,Taxa bruta de natalidade,1505,1505 Betanzos,7.53
2011,2011,Taxa bruta de natalidade,1506,1506 A Coruña,8.99
2011,2011,Taxa bruta de natalidade,1507,1507 Eume,6.61
2011,2011,Taxa bruta de natalidade,1508,1508 Ferrol,7.71
2011,2011,Taxa bruta de natalidade,1509,1509 Fisterra,5.66
2011,2011,Taxa bruta de natalidade,1510,1510 Muros,4.95
2011,2011,Taxa bruta de natalidade,1511,1511 Noia,6.09
2011,2011,Taxa bruta de natalidade,1512,1512 Ordes,8.53
2011,2011,Taxa bruta de natalidade,1513,1513 Ortegal,5.15
2011,2011,Taxa bruta de natalidade,1514,1514 Santiago,9.68
2011,2011,Taxa bruta de natalidade,1515,1515 O Sar,7.48
2011,2011,Taxa bruta de natalidade,1516,1516 Terra de Melide,5.36
2011,2011,Taxa bruta de natalidade,1517,1517 Terra de Soneira,4.86
2011,2011,Taxa bruta de natalidade,1518,1518 Xallas,5.36
2011,2011,Taxa bruta de natalidade,2701,2701 Os Ancares,2.01
2011,2011,Taxa bruta de natalidade,2702,2702 Chantada,4.21
2011,2011,Taxa bruta de natalidade,2703,2703 A Fonsagrada,1.85
2011,2011,Taxa bruta de natalidade,2704,2704 Lugo,8.32
2011,2011,Taxa bruta de natalidade,2705,2705 A Mariña Central,6.76
2011,2011,Taxa bruta de natalidade,2706,2706 A Mariña Occidental,6.56
2011,2011,Taxa bruta de natalidade,2707,2707 A Mariña Oriental,6.5
2011,2011,Taxa bruta de natalidade,2708,2708 Meira,3.33
2011,2011,Taxa bruta de natalidade,2709,2709 Quiroga,3.47
2011,2011,Taxa bruta de natalidade,2710,2710 Sarria,5.06
2011,2011,Taxa bruta de natalidade,2711,2711 Terra Chá,5.58
2011,2011,Taxa bruta de natalidade,2712,2712 Terra de Lemos,4.69
2011,2011,Taxa bruta de natalidade,2713,2713 A Ulloa,4.13
2011,2011,Taxa bruta de natalidade,3201,3201 Allariz-Maceda,4.67
2011,2011,Taxa bruta de natalidade,3202,3202 Baixa Limia,1.44
2011,2011,Taxa bruta de natalidade,3203,3203 O Carballiño,4.89
2011,2011,Taxa bruta de natalidade,3204,3204 A Limia,5.63
2011,2011,Taxa bruta de natalidade,3205,3205 Ourense,8.04
2011,2011,Taxa bruta de natalidade,3206,3206 O Ribeiro,3.92
2011,2011,Taxa bruta de natalidade,3207,3207 Terra de Caldelas,
2011,2011,Taxa bruta de natalidade,3208,3208 Terra de Celanova,3.33
2011,2011,Taxa bruta de natalidade,3209,3209 Terra de Trives,2.49
2011,2011,Taxa bruta de natalidade,3210,3210 Valdeorras,5.09
2011,2011,Taxa bruta de natalidade,3211,3211 Verín,5.28
2011,2011,Taxa bruta de natalidade,3212,3212 Viana,2.51
2011,2011,Taxa bruta de natalidade,3601,3601 O Baixo Miño,7.89
2011,2011,Taxa bruta de natalidade,3602,3602 Caldas,8.17
2011,2011,Taxa bruta de natalidade,3603,3603 O Condado,8.71
2011,2011,Taxa bruta de natalidade,3604,3604 Deza,5.58
2011,2011,Taxa bruta de natalidade,3605,3605 O Morrazo,8.12
2011,2011,Taxa bruta de natalidade,3606,3606 A Paradanta,4.17
2011,2011,Taxa bruta de natalidade,3607,3607 Pontevedra,9.23
2011,2011,Taxa bruta de natalidade,3608,3608 O Salnés,8.56
2011,2011,Taxa bruta de natalidade,3609,3609 Tabeirós-Terra de Montes,7.35
2011,2011,Taxa bruta de natalidade,3610,3610 Vigo,9.15
